Country	GDPinUSD	Inflation	Population	GovernmentRevenue	CurrentAccountBalance
Afghanistan	19.847	206.535	32.017	231.114	0.415
Albania	12.39	2799.07	3.243	336.95	-1.46
Algeria	206.545	843.49	36.494	5974.584	12.881
Angola	114.833	5.72E+04	20.213	5056.595	9.808
AntiguaandBarbuda	1.174	131.158	0.088	0.67	-0.133
Argentina	474.812	321.472	41.028	832.785	1.264
Armenia	10.551	248.911	3.366	891.005	-1.038
Australia	1542.06	182.1	22.683	499.909	-62.969
Austria	391.469	116.074	8.45	150.186	7.315
Azerbaijan	71.043	260.861	9.195	22.582	14.458
TheBahamas	8.249	104.55	0.352	1.496	-1.318
Bahrain	26.509	112.231	1.151	3.066	2.625
Bangladesh	118.693	276.04	150.039	1184.894	-0.396
Barbados	4.533	173.532	0.278	3.226	-0.359
Belarus	58.215	397.906	9.386	199467.197	-2.076
Belgium	476.796	118.481	11.043	187.676	-0.623
Belize	1.52	133.121	0.346	0.863	-0.036
Benin	7.541	112.633	9.351	818.855	-0.699
Bhutan	1.701	1096.31	0.743	32.846	-0.534
Bolivia	26.749	373.267	10.836	67.138	0.479
BosniaandHerzegovina	16.551	143.494	3.884	12.014	-1.321
Botswana	17.641	264.929	1.875	42.139	0.69
Brazil	2425.05	2.30E+04	196.526	1566.14	-62.341
BruneiDarussalam	16.852	108.723	0.434	14.611	8.271
Bulgaria	50.806	143.878	7.285	26.645	-0.167
BurkinaFaso	10.273	106.123	17.358	1272.46	-0.434
Burundi	2.53	1168.13	8.775	1099.871	-0.289
Cambodia	14.246	149.028	15.254	9957.704	-1.378
Cameroon	24.51	228.729	21.458	2368.491	-1.001
Canada	1770.08	121.996	34.826	679.292	-59.921
CapeVerde	1.868	135.337	0.527	34.133	-0.214
CentralAfricanRepublic	2.168	149.034	4.862	182.135	-0.165
Chad	9.723	125.536	10.74	1330.926	-0.181
Chile	268.278	108.061	17.403	30478.584	-8.578
China	8250.24	269.031	1353.82	12083.051	190.681
Colombia	365.402	213.235	46.598	183953.865	-10.656
Comoros	0.595	169.726	0.694	57.76	-0.062
DemocraticRepublicoftheCongo	17.698	2930.84	74.749	5072.384	-2.207
RepublicofCongo	13.743	185.155	4.092	3049.042	-0.077
CostaRica	44.884	153.607	4.666	3263.856	-2.451
CotedIvoire	24.273	142.42	23.368	2429.489	-0.742
Croatia	57.493	122.696	4.402	124.866	-0.672
Cyprus	22.446	119.52	0.876	7.51	-0.784
CzechRepublic	193.513	121.124	10.553	1554.526	-4.63
Denmark	309.18	129.079	5.576	988.195	15.498
Djibouti	1.36	156.971	0.866	85.981	-0.166
Dominica	0.497	103.518	0.071	0.405	-0.066
DominicanRepublic	59.133	386.849	10.237	336.128	-4.413
Ecuador	70.836	1585.27	15.239	29.175	-0.24
Egypt	255.001	257.726	82.008	343.843	-8.668
ElSalvador	23.985	108.899	5.945	4.447	-1.194
EquatorialGuinea	20.649	200.112	1.39	3212.356	-1.584
Eritrea	3.108	665.546	5.659	8.182	0.066
Estonia	21.417	262.541	1.34	7.32	0.153
Ethiopia	41.893	466.962	88.918	112.235	-2.542
Fiji	3.946	252.438	0.899	1.866	-0.388
Finland	247.189	117.472	5.427	103.475	-3.961
France	2580.42	131.242	63.417	1048.817	-44.755
Gabon	16.804	123.843	1.541	2360.322	1.527
TheGambia	0.94	326.847	1.848	6.648	-0.15
Georgia	15.803	255.494	4.498	7.433	-1.989
Germany	3366.65	113.517	81.779	1184.218	182.827
Ghana	40.124	561.484	24.926	15.341	-3.651
Greece	254.978	122.246	11.204	87.556	-14.821
Grenada	0.851	110.123	0.105	0.495	-0.19
Guatemala	50.296	108.326	15.105	46.112	-1.762
Guinea	5.744	983.437	10.854	9277.579	-2.23
GuineaBissau	0.884	109.655	1.72	64.527	-0.031
Guyana	2.788	110.327	0.775	159.148	-0.391
Haiti	7.895	175.691	10.163	91.786	-0.341
Honduras	18.18	248.71	8.201	83.92	-1.791
HongKongSAR	257.953	110.019	7.173	415.636	10.496
Hungary	128.844	142.568	9.962	13418.267	3.371
Iceland	13.554	274.414	0.329	733.386	-0.37
India	1946.77	211.128	1223.17	18069.25	-74.542
Indonesia	894.854	133.058	244.468	1525971.102	-18.858
IslamicRepublicofIran	483.78	347.366	76.117	1153423.22	16.502
Iraq	130.574	139.991	33.635	112858.613	0.345
Ireland	204.71	108.127	4.571	55.821	3.712
Israel	246.78	105.177	7.697	370.721	-5.191
Italy	1980.45	117.196	60.896	755.135	-29.222
Jamaica	15.262	338.918	2.762	347.986	-1.793
Japan	5984.39	99.763	127.611	147527.511	95.39
Jordan	31.353	135.812	6.397	5.596	-4.421
Kazakhstan	200.642	258.716	16.691	7889.803	12.39
Kenya	41.837	245.8	42.104	914.95	-3.54
Kiribati	0.174	140.16	0.106	0.131	-0.042
Korea	1151.27	106.314	50.01	307191.479	22.314
Kosovo	6.3	122.482	0	1.377	-1.154
Kuwait	174.628	162.9	3.785	33.777	76.962
KyrgyzRepublic	6.197	244.366	5.588	102.089	-0.792
LaoP.D.R.	9.269	215.595	6.376	14712.457	-2.026
Latvia	27.188	147.182	2.042	5.738	-0.431
Lebanon	41.766	125.646	4.01	15051.469	-6.749
Lesotho	2.62	111.218	1.955	13.615	-0.294
Liberia	1.767	298.803	3.977	0.463	-0.986
Libya	85.109	165.474	6.608	76.002	18.557
Lithuania	41.216	138.12	3.202	38.147	-0.461
Luxembourg	55.287	120.218	0.523	18.039	4.054
FYRMacedonia	10.198	106.783	2.066	137.076	-0.405
Madagascar	10.054	308.657	22.408	2629.846	-0.79
Malawi	4.49	391.538	16.632	330.101	-0.183
Malaysia	307.178	105.256	29.038	231.043	23.069
Maldives	1.978	215.029	0.331	9.298	-0.576
Mali	9.603	146.517	16.345	1139.514	-0.517
Malta	8.415	119.199	0.426	2.754	-0.124
Mauritania	4.096	148.728	3.628	390.067	-0.965
Mauritius	11.93	192.799	1.297	75.269	-1.254
Mexico	1162.89	105.041	114.872	3636.047	-10.958
Moldova	7.589	37946.69	3.553	34.346	-0.864
Mongolia	9.923	119.605	2.828	5136.385	-3.116
Montenegro	4.332	423.598	0.622	1.269	-0.867
Morocco	97.173	111.481	32.522	239.596	-7.629
Mozambique	14.642	309.571	22.457	124.824	-1.705
Myanmar	54.049	2111.47	63.672	2705.335	-2.382
Namibia	12.147	220.112	2.156	33.549	-0.456
Nepal	19.415	165.425	31.006	283.005	0.849
Netherlands	770.224	112.668	16.765	282.257	63.466
NewZealand	166.923	137.632	4.463	61.67	-8.959
Nicaragua	7.828	187.059	5.963	63.004	-1.605
Niger	6.556	100.229	15.553	896.718	-1.727
Nigeria	272.55	134.551	164.752	11520.971	9.483
Norway	499.827	131.755	5.033	1705.471	76.09
Oman	79.974	150.555	3.18	12.625	11.215
Pakistan	230.525	312.364	178.91	2643.925	-4.517
Panama	34.819	165.753	3.655	8.454	-4.213
PapuaNewGuinea	15.393	541.815	6.826	9.431	-4.374
Paraguay	26.089	126.28	6.661	24447.662	-0.296
Peru	200.292	108.813	30.474	111.595	-6.078
Philippines	240.664	130.555	97.737	1817.663	7.147
Poland	470.354	167.674	38.233	635.307	-17.357
Portugal	210.62	115.871	10.655	69.375	-6.047
Qatar	184.566	237.823	1.839	264.73	54.556
Romania	171.401	340.432	21.348	195.97	-6.371
Russia	1953.56	1061.26	141.924	22909.667	101.693
Rwanda	6.95	117.308	10.422	1141.95	-0.681
Samoa	0.712	191.036	0.183	0.584	-0.081
SanMarino	1.85	125.706		0.308	0
SuoTomandProncipe	0.261	565.278	0.172	2275.065	-0.06
SaudiArabia	657.049	142	28.789	1332.637	171.273
Senegal	13.95	104.642	13.766	1703.36	-1.182
Serbia	37.199	135.103	7.566	1401.723	-4.268
Seychelles	0.971	230.24	0.092	5.78	-0.193
SierraLeone	3.824	1688.83	6.156	2526.354	-0.5
Singapore	267.941	113.03	5.366	78.292	56.142
SlovakRepublic	91.186	121.016	5.452	23.128	0.723
Slovenia	45.421	119.849	2.022	14.902	0.503
SolomonIslands	1.039	169.416	0.564	4.272	-0.081
SouthAfrica	390.919	198.296	51.197	875.948	-21.368
SouthSudan	11.445	169.614	10.386	3.842	-1.445
Spain	1340.27	119.186	46.254	377.997	-26.447
SriLanka	59.773	163.445	20.681	1072.586	-3.201
StKittsandNevis	0.738	111.251	0.057	0.604	-0.126
StLucia	1.259	112.092	0.168	0.91	-0.302
StVincentandtheGrenadines	0.717	106.639	0.11	0.521	-0.195
Sudan	51.583	218.533	33.51	24.517	-3.999
Suriname	5.094	321.755	0.546	4.204	-0.005
Swaziland	3.651	227.273	1.171	12.06	0.005
Sweden	520.256	112.632	9.48	1777.216	37.561
Switzerland	622.855	99.468	8.002	201.14	62.613
Syria	0	0	0	0	0
TaiwanChina	466.054	109.652	23.434	2447.386	32.035
Tajikistan	7.263	1021.44	7.964	9.336	-0.029
Tanzania	27.978	247.431	43.019	10147.401	-4.314
Thailand	376.989	115.705	64.46	2362.467	-0.749
DemocraticRepublicofTimorLeste	4.214	198.913	1.119	3.098	1.914
Togo	3.624	111.647	6.304	429.615	-0.319
Tonga	0.476	109.037	0.104	0.234	-0.02
TrinidadandTobago	23.837	226.446	1.329	54.732	1.932
Tunisia	44.701	132.797	10.766	21.847	-3.551
Turkey	783.064	206.516	74.885	476.494	-59.01
Turkmenistan	33.466	343.959	5.614	20.281	-0.505
Tuvalu	0.036	137.767	0.011	0.03	-0.003
Uganda	20.464	197.404	35.648	7744.681	-2.255
Ukraine	180.174	34343	45.37	630.2	-10.118
UnitedArabEmirates	361.912	246.763	5.536	480.192	33.634
UnitedKingdom	2433.78	122.868	63.065	576.01	-80.589
UnitedStates	15653.37	229.362	314.311	5004.519	-486.525
Uruguay	49.716	113.494	3.381	332.576	-1.472
Uzbekistan	51.622	2668.1	29.449	36957.887	2.431
Vanuatu	0.761	139.719	0.25	15.42	-0.046
Venezuela	337.979	22241	30.362	652.566	22.549
Vietnam	137.681	268.866	90.388	772048.903	0.457
Yemen	36.37	392.249	25.884	2333.372	-0.964
Zambia	20.682	122.439	13.921	21103.057	-0.37
Zimbabwe	10.796	60.975	12.575	3.589	-2.199
